Name,Ticker,CUSIP
NVIDIA CORP,NVDA,67066G104
APPLE INC,AAPL,037833100
MICROSOFT CORP,MSFT,594918104
AMAZON.COM INC,AMZN,023135106
ALPHABET INC CL A,GOOGL,02079K305
BROADCOM INC,AVGO,11135F101
ALPHABET INC CL C,GOOG,02079K107
META PLATFORMS INC CLASS A,META,30303M102
TESLA INC,TSLA,88160R101
BERKSHIRE HATHAWAY INC CL B,BRK.B,084670702
JPMORGAN CHASE + CO,JPM,46625H100
ELI LILLY + CO,LLY,532457108
VISA INC CLASS A SHARES,V,92826C839
EXXON MOBIL CORP,XOM,30231G102
JOHNSON + JOHNSON,JNJ,478160104
WALMART INC,WMT,931142103
MASTERCARD INC   A,MA,57636Q104
PALANTIR TECHNOLOGIES INC A,PLTR,69608A108
ABBVIE INC,ABBV,00287Y109
NETFLIX INC,NFLX,64110L106
COSTCO WHOLESALE CORP,COST,22160K105
BANK OF AMERICA CORP,BAC,060505104
ADVANCED MICRO DEVICES,AMD,007903107
HOME DEPOT INC,HD,437076102
PROCTER + GAMBLE CO/THE,PG,742718109
MICRON TECHNOLOGY INC,MU,595112103
GENERAL ELECTRIC,GE,369604301
ORACLE CORP,ORCL,68389X105
CISCO SYSTEMS INC,CSCO,17275R102
UNITEDHEALTH GROUP INC,UNH,91324P102
WELLS FARGO + CO,WFC,949746101
INTL BUSINESS MACHINES CORP,IBM,459200101
CHEVRON CORP,CVX,166764100
COCA COLA CO/THE,KO,191216100
CATERPILLAR INC,CAT,149123101
GOLDMAN SACHS GROUP INC,GS,38141G104
MERCK + CO. INC.,MRK,58933Y105
SALESFORCE INC,CRM,79466L302
PHILIP MORRIS INTERNATIONAL,PM,718172109
RTX CORP,RTX,75513E101
LAM RESEARCH CORP,LRCX,512807306
THERMO FISHER SCIENTIFIC INC,TMO,883556102
MCDONALD S CORP,MCD,580135101
MORGAN STANLEY,MS,617446448
ABBOTT LABORATORIES,ABT,002824100
CITIGROUP INC,C,172967424
APPLIED MATERIALS INC,AMAT,038222105
INTUITIVE SURGICAL INC,ISRG,46120E602
WALT DISNEY CO/THE,DIS,254687106
AMERICAN EXPRESS CO,AXP,025816109
LINDE PLC,LIN,G54950103
PEPSICO INC,PEP,713448108
APPLOVIN CORP CLASS A,APP,03831W108
INTUIT INC,INTU,461202103
QUALCOMM INC,QCOM,747525103
GE VERNOVA INC,GEV,36828A101
AMGEN INC,AMGN,031162100
AT+T INC,T,00206R102
BOOKING HOLDINGS INC,BKNG,09857L108
TJX COMPANIES INC,TJX,872540109
VERIZON COMMUNICATIONS INC,VZ,92343V104
BOEING CO/THE,BA,097023105
UBER TECHNOLOGIES INC,UBER,90353T100
SCHWAB (CHARLES) CORP,SCHW,808513105
ACCENTURE PLC CL A,ACN,G1151C101
AMPHENOL CORP CL A,APH,032095101
NEXTERA ENERGY INC,NEE,65339F101
KLA CORP,KLAC,482480100
INTEL CORP,INTC,458140100
S+P GLOBAL INC,SPGI,78409V104
SERVICENOW INC,NOW,81762P102
TEXAS INSTRUMENTS INC,TXN,882508104
BLACKROCK INC,BLK,09290D101
CAPITAL ONE FINANCIAL CORP,COF,14040H105
GILEAD SCIENCES INC,GILD,375558103
ADOBE INC,ADBE,00724F101
DANAHER CORP,DHR,235851102
US DOLLAR,-,999USDZ92
PFIZER INC,PFE,717081103
BOSTON SCIENTIFIC CORP,BSX,101137107
UNION PACIFIC CORP,UNP,907818108
ARISTA NETWORKS INC,ANET,040413205
LOWE S COS INC,LOW,548661107
ANALOG DEVICES INC,ADI,032654105
PROGRESSIVE CORP,PGR,743315103
WELLTOWER INC,WELL,95040Q104
PALO ALTO NETWORKS INC,PANW,697435105
HONEYWELL INTERNATIONAL INC,HON,438516106
EATON CORP PLC,ETN,G29183103
MEDTRONIC PLC,MDT,G5960L103
STRYKER CORP,SYK,863667101
