name,TICKER,SUB-INDUSTRY,cusip
NVIDIA Corp,NVDA,Semiconductors,67066G104
Apple Inc,AAPL,"Technology Hardware, Storage & Peripherals",037833100
Microsoft Corp,MSFT,Systems Software,594918104
Amazon.com Inc,AMZN,Broadline Retail,023135106
Broadcom Inc,AVGO,Semiconductors,11135F101
Alphabet Inc,GOOGL,Interactive Media & Services,02079K305
Alphabet Inc,GOOG,Interactive Media & Services,02079K305
Meta Platforms Inc,META,Interactive Media & Services,30303M102
Tesla Inc,TSLA,Automobile Manufacturers,88160R101
Berkshire Hathaway Inc,BRK/B,Multi-Sector Holdings,084670702
JPMorgan Chase & Co,JPM,Diversified Banks,46625H100
Eli Lilly & Co,LLY,Pharmaceuticals,532457108
Visa Inc,V,Transaction & Payment Processing Services,92826C839
Exxon Mobil Corp,XOM,Integrated Oil & Gas,30231G102
Johnson & Johnson,JNJ,Pharmaceuticals,478160104
Walmart Inc,WMT,Consumer Staples Merchandise Retail,931142103
Netflix Inc,NFLX,Movies & Entertainment,64110L106
Mastercard Inc,MA,Transaction & Payment Processing Services,57636Q104
Costco Wholesale Corp,COST,Consumer Staples Merchandise Retail,22160K105
AbbVie Inc,ABBV,Biotechnology,00287Y109
Palantir Technologies Inc,PLTR,Application Software,69608A108
Bank of America Corp,BAC,Diversified Banks,060505104
Home Depot Inc/The,HD,Home Improvement Retail,437076102
Advanced Micro Devices Inc,AMD,Semiconductors,007903107
Procter & Gamble Co/The,PG,Household Products,742718109
Oracle Corp,ORCL,Systems Software,68389X105
General Electric Co,GE,Aerospace & Defense,369604301
Cisco Systems Inc,CSCO,Communications Equipment,17275R102
UnitedHealth Group Inc,UNH,Managed Health Care,91324P102
Chevron Corp,CVX,Integrated Oil & Gas,166764100
International Business Machines Corp,IBM,IT Consulting & Other Services,459200101
Coca-Cola Co/The,KO,Soft Drinks & Non-alcoholic Beverages,191216100
Wells Fargo & Co,WFC,Diversified Banks,949746101
Caterpillar Inc,CAT,Construction Machinery & Heavy Transportation Equipment,149123101
